evolution$generation,nwCorrelation,sigmaDiscipline,alphaPreference,entryCostHierarchy,betaDC,depth,interdisciplinarity,evolution$samples
5000,0.9997891518625313,0.01,1.4002733237011133,5.0,3.58536591015779,-0.03072772543082172,-1.9072516601635945,83
5000,0.9958132755119596,0.010000000580487424,0.18282474221569897,2.7586421017133045,4.969300663071542,-0.058828103839443965,-1.8445734466095773,1
5000,0.9987179409646922,0.01,0.4541263895814143,4.669375117642576,4.773851629312674,-0.04143483385084876,-1.8772460857836448,40
5000,0.5938265666328185,0.01,3.0970803555671678,4.222176012635902,3.16079172562562,-0.025069525590267365,-1.9241852327006894,100
5000,0.8447685279857533,0.01,0.0,4.95846879044551,4.998946121912764,-0.06029707850391427,-1.8340227733785892,5
5000,1.0,0.01,0.08579328322238108,4.920998547666849,5.0,-0.052804708395243836,-1.8567227015030612,1
5000,0.15445140011046482,0.01,0.10906219368338774,3.9776227198954044,4.944447349114854,-0.04023948248998596,-1.8772340589234386,100
5000,0.8113219676737643,0.010000000072807526,0.0,4.899039413329558,3.8623611877698867,-0.05307501701879738,-1.8543372618523584,1
5000,1.0,0.01,0.5626814635231691,5.0,4.765569083050942,-0.03919270190869463,-1.8804936048606542,100
5000,0.7177055532867921,0.01,0.0,4.78656047483493,4.779391480978983,-0.04651637682957785,-1.8615184893429815,28
5000,0.8075700706223453,0.01,0.07178432282470923,4.19928887668252,4.906427232756181,-0.06124209367183088,-1.8304109435107399,1
5000,0.8030980971782758,0.01,0.02279316976463887,4.128839607182321,4.589665427997929,-0.06338239041806282,-1.8273944913675961,1
5000,0.09025099957711503,0.01,1.838889116391698,1.0138166908088506,5.0,-0.01577480001927346,-1.9501394074101381,42
5000,0.7728834531631588,0.01,0.0,4.923085222086728,4.966925717259084,-0.0466247406438309,-1.8587549857414043,5
5000,0.5769387913099673,0.01,0.0,5.0,5.0,-0.05492272796869949,-1.8474373070932248,1
5000,1.0,0.01,0.11236630975990008,4.0996323105697625,3.6744805828882363,-0.03437177517524018,-1.8963014438778734,100
5000,0.9412019395476484,0.01,1.7239621027392962,2.241034282612214,2.007392520499511,-0.015181174633692233,-1.953793395101075,100
5000,0.8415302881319416,0.01,0.0011923132782083927,4.107813985044439,4.878506084926094,-0.04593923586780874,-1.8648427066061244,95
5000,0.9582840585974103,0.01,2.302214714872885,4.120975941602203,4.997496067363498,-0.030971756554922188,-1.9218125051571047,1
5000,0.9477140819580414,0.01,0.0,4.997080175124861,5.0,-0.04858346952248592,-1.8532901843229932,36
5000,0.8856822081744626,0.01,0.47686725402708685,2.099030772168882,5.0,-0.03584813560419966,-1.9088858929848462,1
